,movie_title,movie_year,genre,average_rating,num_votes,is_adult,imdb_tconst,imdb_link
18606,"Missing Link, 1988",1988,Adventure,6.1,405.0,0,tt0095646,https://www.imdb.com/title/tt0095646/
18607,"Missing Link, 2019",2019,"Adventure,Animation,Comedy",6.7,27028.0,0,tt6348138,https://www.imdb.com/title/tt6348138/
18608,Missing Woman,2016,"Drama,Mystery,Thriller",6.5,1147.0,0,tt6292996,https://www.imdb.com/title/tt6292996/
18609,The Missing,2003,"Adventure,Thriller,Western",6.5,36845.0,0,tt0338188,https://www.imdb.com/title/tt0338188/
18610,Missing: Sarajin Yeoja,2016,"Drama,Mystery,Thriller",6.5,1147.0,0,tt6292996,https://www.imdb.com/title/tt6292996/
18611,Mission Blue,2014,"Documentary,Drama",7.9,2038.0,0,tt2004304,https://www.imdb.com/title/tt2004304/
18612,Mission Istaanbul: Darr Ke Aagey Jeet Hai!,2008,"Action,Adventure,Drama",3.5,1197.0,0,tt1179781,https://www.imdb.com/title/tt1179781/
18613,Mission London,2010,Comedy,7.1,6245.0,0,tt1127702,https://www.imdb.com/title/tt1127702/
18614,Mission Mangal,2019,"Drama,History",6.5,16546.0,0,tt9248972,https://www.imdb.com/title/tt9248972/
18615,Mission Pays Basque,2017,"Comedy,Romance",4.6,524.0,0,tt5993456,https://www.imdb.com/title/tt5993456/
18616,Mission Possible,2018,"Adventure,Comedy,Family",5.7,87.0,0,tt5918136,https://www.imdb.com/title/tt5918136/
18617,Mission To Mars,2000,"Adventure,Sci-Fi,Thriller",5.6,74329.0,0,tt0183523,https://www.imdb.com/title/tt0183523/
18618,Mission to Mir,1997,"Documentary,Short",6.5,271.0,0,tt0119682,https://www.imdb.com/title/tt0119682/
18619,Mission to Moscow,1943,"Drama,History,War",5.4,966.0,0,tt0036166,https://www.imdb.com/title/tt0036166/
18620,"Mission, La",2009,,,,,,
18621,The Mission,1986,"Adventure,Drama,History",7.4,62510.0,0,tt0091530,https://www.imdb.com/title/tt0091530/
18622,Mission: Impossible,1996,"Action,Adventure,Thriller",7.1,432466.0,0,tt0117060,https://www.imdb.com/title/tt0117060/
18623,Mission: Impossible - Fallout,2018,"Action,Adventure,Thriller",7.7,337951.0,0,tt4912910,https://www.imdb.com/title/tt4912910/
18624,Mission: Impossible - Ghost Protocol,2011,"Action,Adventure,Thriller",7.4,495662.0,0,tt1229238,https://www.imdb.com/title/tt1229238/
18625,Mission: Impossible - Rogue Nation,2015,"Action,Adventure,Thriller",7.4,378495.0,0,tt2381249,https://www.imdb.com/title/tt2381249/
18626,Mission: Impossible II,2000,"Action,Adventure,Thriller",6.1,347658.0,0,tt0120755,https://www.imdb.com/title/tt0120755/
18627,Mission: Impossible III,2006,"Action,Adventure,Thriller",6.9,361663.0,0,tt0317919,https://www.imdb.com/title/tt0317919/
18628,Mission: Killfast,1991,"Action,Adventure",3.5,216.0,0,tt0261833,https://www.imdb.com/title/tt0261833/
18629,Missionary Man,2007,Thriller,5.0,2560.0,0,tt0926110,https://www.imdb.com/title/tt0926110/
18630,Mississippi Burning,1988,"Crime,Drama,Mystery",7.8,102831.0,0,tt0095647,https://www.imdb.com/title/tt0095647/
18631,Mississippi Chicken,2007,Documentary,7.6,27.0,0,tt1104094,https://www.imdb.com/title/tt1104094/
18632,Mississippi Grind,2015,"Comedy,Drama",6.4,24613.0,0,tt2349144,https://www.imdb.com/title/tt2349144/
18633,Mississippi Masala,1991,"Drama,Romance",6.7,5671.0,0,tt0102456,https://www.imdb.com/title/tt0102456/
18634,Mississippi Murder,2017,Thriller,3.6,231.0,0,tt2827058,https://www.imdb.com/title/tt2827058/
18635,The Mist,2007,"Horror,Sci-Fi,Thriller",7.1,316497.0,0,tt0884328,https://www.imdb.com/title/tt0884328/
18636,Mistaken,2008,"Crime,Drama,Mystery",5.2,380.0,0,tt1227774,https://www.imdb.com/title/tt1227774/
18637,Mistaken for Strangers,2013,"Comedy,Documentary,Music",7.3,4504.0,0,tt2737310,https://www.imdb.com/title/tt2737310/
18638,Mister 880,1950,"Comedy,Crime,Romance",7.0,1720.0,0,tt0042742,https://www.imdb.com/title/tt0042742/
18639,Mister Blot's Academy,1984,,,,,,
18640,Mister Creep,2022,Horror,5.7,32.0,0,tt19637144,https://www.imdb.com/title/tt19637144/
18641,Mister Lonely,2007,"Comedy,Drama",6.4,8109.0,0,tt0475984,https://www.imdb.com/title/tt0475984/
18642,Mister Rogers & Me,2010,Documentary,7.4,263.0,0,tt1543511,https://www.imdb.com/title/tt1543511/
18643,Mistletoe Magic,2019,"Comedy,Romance",6.3,486.0,0,tt10920660,https://www.imdb.com/title/tt10920660/
18644,Mistletoe Mixup,2021,"Comedy,Romance",5.9,1008.0,0,tt14253138,https://www.imdb.com/title/tt14253138/
18645,Mistletoe Ranch,2022,"Adventure,Drama,Romance",6.7,16.0,0,tt18180242,https://www.imdb.com/title/tt18180242/
18646,Mistletoe Time Machine,2022,"Comedy,Fantasy,Romance",6.3,47.0,0,tt22003250,https://www.imdb.com/title/tt22003250/
18647,Mistress America,2015,"Comedy,Drama",6.7,27579.0,0,tt2872462,https://www.imdb.com/title/tt2872462/
18648,Mistrial,1996,"Action,Drama,Thriller",5.6,853.0,0,tt0117061,https://www.imdb.com/title/tt0117061/
18649,Mistrust,2018,"Drama,Romance",5.7,1050.0,0,tt4103470,https://www.imdb.com/title/tt4103470/
18650,The Mists of Avalon,2001,"Drama,Fantasy",6.8,10134.0,0,tt0244353,https://www.imdb.com/title/tt0244353/
18651,Mit moon (Bad Blood),2010,,,,,,
18652,Mithai,2019,"Crime,Drama,Romance",4.4,97.0,0,tt8616250,https://www.imdb.com/title/tt8616250/
18653,Mithya,2008,"Comedy,Crime,Thriller",7.1,2019.0,0,tt1179782,https://www.imdb.com/title/tt1179782/
18654,Mitt liv som hund (My Life as a Dog),1985,,,,,,
18655,Mixed Nuts,1994,"Comedy,Drama",5.4,12506.0,0,tt0110538,https://www.imdb.com/title/tt0110538/
18656,Miyamoto Musashi,1973,"Action,Drama",7.1,62.0,0,tt0070761,https://www.imdb.com/title/tt0070761/
18657,MK Ultra,2022,Thriller,5.6,7481.0,0,tt7147158,https://www.imdb.com/title/tt7147158/
18658,MLK/FBI,2020,"Documentary,History",7.0,1595.0,0,tt12801356,https://www.imdb.com/title/tt12801356/
18659,Mo fei cui (Jade Crystal AKA The Magic Crystal),1986,,,,,,
18660,Mo Gilligan: There's Mo to Life,2022,Comedy,6.0,304.0,0,tt17162494,https://www.imdb.com/title/tt17162494/
18661,Mo Salah: A Football Fairy Tale,2018,,,,,,
18662,Mo Tai (Devil Fetus),1983,,,,,,
18663,Mo' Better Blues,1990,"Drama,Music,Romance",6.7,12904.0,0,tt0100168,https://www.imdb.com/title/tt0100168/
18664,Mo' Money,1992,"Action,Comedy,Crime",5.5,7863.0,0,tt0104897,https://www.imdb.com/title/tt0104897/
18665,Moana,2016,"Adventure,Animation,Comedy",7.6,342589.0,0,tt3521164,https://www.imdb.com/title/tt3521164/
18666,Moartea Domnului Lazarescu (The Death of Mr. Lazarescu),2005,,,,,,
18667,Mob Rules,2010,"Action,Crime,Thriller",4.2,309.0,0,tt1217301,https://www.imdb.com/title/tt1217301/
18668,Mob Town,2019,"Crime,Drama",4.7,864.0,0,tt8722440,https://www.imdb.com/title/tt8722440/
18669,Mobile Home,2012,"Comedy,Drama",6.4,404.0,0,tt2112204,https://www.imdb.com/title/tt2112204/
18670,Mobile Homes,2017,Drama,6.0,1169.0,0,tt5613402,https://www.imdb.com/title/tt5613402/
18671,Mobile Suit Gundam F91,1991,"Action,Animation,Drama",6.5,909.0,0,tt0159568,https://www.imdb.com/title/tt0159568/
18672,Mobile Suit Gundam I,1981,"Action,Adventure,Animation",7.1,1913.0,0,tt0159509,https://www.imdb.com/title/tt0159509/
18673,Mobile Suit Gundam III: Encounters in Space,1982,"Action,Animation,Drama",7.6,1312.0,0,tt0159511,https://www.imdb.com/title/tt0159511/
18674,Mobile Suit Gundam Narrative,2018,"Action,Animation,Drama",6.1,444.0,0,tt9497146,https://www.imdb.com/title/tt9497146/
18675,Mobile Suit Gundam Thunderbolt: Bandit Flower,2017,"Action,Animation,Drama",6.6,303.0,0,tt7933596,https://www.imdb.com/title/tt7933596/
