,movie_title,movie_year,genre,average_rating,num_votes,is_adult,imdb_tconst,imdb_link,tmdbId
11793,Guan yin shan (Buddha Mountain),2010,,,,,0,,0
11794,Guan yun chang (The Lost Bladesman),2011,,,,,0,,0
11795,The Guard,2011,"Comedy,Crime,Thriller",7.3,90556.0,0.0,1540133,https://www.imdb.com/title/tt1540133/,67913
11796,"The Guardian, 2006",2006,"Action,Adventure,Drama",6.9,94445.0,0.0,406816,https://www.imdb.com/title/tt0406816/,4643
11797,Guardians of the Galaxy,2014,"Action,Adventure,Comedy",8.0,1189058.0,0.0,2015381,https://www.imdb.com/title/tt2015381/,118340
11798,Guardians of the Galaxy Vol. 2,2017,"Action,Adventure,Comedy",7.6,690088.0,0.0,3896198,https://www.imdb.com/title/tt3896198/,283995
11799,Guardians of Time,2022,"Action,Adventure",3.5,384.0,0.0,10580188,https://www.imdb.com/title/tt10580188/,0
11800,Guarding Tess,1994,"Comedy,Drama",6.2,18126.0,0.0,109951,https://www.imdb.com/title/tt0109951/,6472
11801,Guava Island,2019,"Comedy,Drama,Music",6.6,11091.0,0.0,8858104,https://www.imdb.com/title/tt8858104/,0
11802,Guddiyan Patole,2019,"Comedy,Drama",7.0,808.0,0.0,9390254,https://www.imdb.com/title/tt9390254/,0
11803,Guddu Rangeela,2015,"Comedy,Drama",5.3,937.0,0.0,4684028,https://www.imdb.com/title/tt4684028/,0
11804,Guermantes,2021,"Comedy,Drama",5.7,136.0,0.0,15242370,https://www.imdb.com/title/tt15242370/,0
11805,"Guernica, 2016",2016,"Drama,History,Romance",5.8,2385.0,0.0,2556114,https://www.imdb.com/title/tt2556114/,363841
11806,"Guernica, 1951",1951,,,,,0,,0
11807,Guernsey,2005,Drama,6.1,686.0,0.0,428608,https://www.imdb.com/title/tt0428608/,62297
11808,Gueros,2014,"Comedy,Drama",7.5,4627.0,0.0,3499048,https://www.imdb.com/title/tt3499048/,256057
11809,Guess Who,2005,"Comedy,Romance",5.9,43767.0,0.0,372237,https://www.imdb.com/title/tt0372237/,11638
11810,Guess Who's Coming to Dinner,1967,"Comedy,Drama",7.8,46244.0,0.0,61735,https://www.imdb.com/title/tt0061735/,1879
11811,Guest House Paradiso,1999,"Comedy,Thriller",6.1,10184.0,0.0,202381,https://www.imdb.com/title/tt0202381/,10482
11812,"Guest House, the",2012,Romance,3.5,1539.0,0.0,1859603,https://www.imdb.com/title/tt1859603/,117618
11813,Guest iin London,2017,Comedy,5.4,2176.0,0.0,6173826,https://www.imdb.com/title/tt6173826/,0
11814,"Guetteur, Le (The Lookout)",2012,,,,,0,,0
11815,Guglhupfgeschwader,2022,"Comedy,Crime",6.4,580.0,0.0,14210958,https://www.imdb.com/title/tt14210958/,0
11816,Guillermo del Toro's Pinocchio,2022,"Animation,Drama,Family",7.6,78865.0,0.0,1488589,https://www.imdb.com/title/tt1488589/,0
11817,The Guillotines,2012,"Action,Drama",4.8,1393.0,0.0,1847713,https://www.imdb.com/title/tt1847713/,167449
11818,Guilt by Design,2019,"Action,Crime",6.0,354.0,0.0,10098494,https://www.imdb.com/title/tt10098494/,0
11819,The Guilt Trip,2012,"Comedy,Drama",5.8,37875.0,0.0,1694020,https://www.imdb.com/title/tt1694020/,82687
11820,Guilty,2020,"Drama,Thriller",5.4,4553.0,0.0,10062614,https://www.imdb.com/title/tt10062614/,0
11821,Guilty as Sin,1993,"Crime,Drama,Thriller",5.6,5583.0,0.0,107057,https://www.imdb.com/title/tt0107057/,4916
11822,Guilty at 17,2014,"Drama,Mystery,Thriller",5.5,571.0,0.0,3295240,https://www.imdb.com/title/tt3295240/,0
11823,Guilty By Suspicion,1991,Drama,6.5,8874.0,0.0,101984,https://www.imdb.com/title/tt0101984/,22423
