,source,target,weight
84891,10472.0,6720.0,5
84942,8269.0,2349.0,5
84991,2193.0,14740.0,5
85138,11110.0,7648.0,5
85215,10147.0,13846.0,5
85297,5017.0,27681.0,5
85344,14720.0,2092.0,5
85516,582.0,15964.0,5
85683,20852.0,5574.0,5
85762,1873.0,18732.0,5
85839,853.0,6040.0,5
85974,25023.0,1745.0,5
86089,1920.0,15299.0,5
86199,24979.0,21427.0,5
86295,17089.0,2426.0,5
86506,6221.0,14213.0,5
86565,1322.0,29547.0,5
86693,10184.0,8509.0,5
86730,9253.0,10605.0,5
86944,13588.0,4508.0,5
86962,2077.0,2193.0,5
87018,21105.0,7648.0,5
87038,9078.0,582.0,5
87226,1384.0,2193.0,5
87814,4300.0,3873.0,4
88303,12280.0,7075.0,4
88343,4169.0,3375.0,4
88514,3820.0,25022.0,4
88527,7717.0,3070.0,4
88538,853.0,10490.0,4
88699,881.0,9390.0,4
88912,2805.0,4235.0,4
88961,10461.0,18055.0,4
88983,4445.0,3788.0,4
89054,25291.0,1322.0,4
89279,3447.0,9029.0,4
89708,15284.0,23468.0,4
89755,7911.0,26081.0,4
89838,7592.0,2193.0,4
89955,2995.0,16383.0,4
89968,11940.0,14027.0,4
90364,9360.0,5015.0,4
90423,10587.0,1920.0,4
90692,6187.0,20282.0,4
90695,24802.0,11110.0,4
90696,21148.0,21116.0,4
90774,4727.0,5967.0,4
90921,13846.0,801.0,4
90925,18686.0,13846.0,4
90932,5237.0,11900.0,4
91114,6710.0,8729.0,4
91227,10353.0,1529.0,4
91388,1930.0,12225.0,4
91412,2077.0,3637.0,4
91651,1920.0,10164.0,4
91694,6567.0,1619.0,4
91728,17190.0,18149.0,4
91897,10588.0,4291.0,4
91962,2814.0,20282.0,4
92018,5574.0,11419.0,4
92040,14205.0,18055.0,4
92075,18218.0,6721.0,4
92308,23758.0,5574.0,4
92310,14161.0,15974.0,4
92535,5779.0,20550.0,4
92774,6632.0,8954.0,4
93052,4000.0,18103.0,4
93092,10169.0,6152.0,4
93113,20405.0,25840.0,4
93136,1015.0,14576.0,4
93149,6465.0,14518.0,4
93293,1843.0,6204.0,4
93331,4219.0,10017.0,4
93362,3070.0,2739.0,4
93435,10893.0,7416.0,4
93456,5944.0,1352.0,4
93835,19763.0,6427.0,4
93837,15417.0,9029.0,4
94011,4444.0,8974.0,4
94032,20800.0,4511.0,4
94227,10780.0,5574.0,4
94317,19243.0,19489.0,4
94383,8151.0,3272.0,4
94767,9240.0,9810.0,4
94793,12576.0,8954.0,4
94894,1322.0,24330.0,4
95120,582.0,10104.0,4
95206,7838.0,14213.0,4
95430,26650.0,27968.0,4
95492,6716.0,26163.0,4
95519,4400.0,2349.0,4
95756,7911.0,10685.0,4
96012,13043.0,2814.0,4
96178,19183.0,14880.0,4
96775,13103.0,3207.0,4
96878,6490.0,2008.0,4
96970,6710.0,5015.0,4
96994,6221.0,12135.0,4
97133,15680.0,1949.0,4
97154,19763.0,10180.0,4
97229,9599.0,18581.0,4
97484,20862.0,2264.0,4
97652,9428.0,5967.0,4
97803,9360.0,8729.0,4
97869,7193.0,7467.0,4
97961,6734.0,26163.0,4
97983,14205.0,6152.0,4
97984,1930.0,15911.0,4
98017,1930.0,10893.0,4
98167,11084.0,3534.0,4
98419,9949.0,2360.0,4
98459,17071.0,5574.0,4
98638,17194.0,7838.0,4
98855,1930.0,17933.0,4
98927,853.0,28552.0,4
98978,12985.0,2090.0,4
99011,5015.0,22292.0,4
99131,14097.0,28646.0,4
99255,6849.0,801.0,4
